"mcp_code","week_num","cumul_week"
11023,"38",44380
11023,"39",44917
11023,"4",731
11023,"40",45680
11023,"41",45793
11023,"42",46427
11023,"43",46721
11023,"44",46723
11023,"45",47150
11023,"46",48187
11023,"47",49829
11023,"48",51653
11023,"49",53313
11023,"5",1094
11023,"50",55347
11023,"51",57217
11023,"52",57306
11023,"6",1343
11023,"7",1668
11023,"8",1922
11023,"9",2445
11024,"1",30
11024,"10",2531
11024,"11",3028
11024,"12",3681
11024,"13",4312
11024,"14",5278
11024,"15",6585
11024,"16",7325
11024,"17",8078
11024,"18",9361
11024,"19",10766
11024,"2",202
11024,"20",12589
11024,"21",13687
11024,"22",15856
11024,"23",17582
11024,"24",19983
11024,"25",21852
11024,"26",22702
11024,"27",25227
11024,"28",26368
11024,"29",28185
11024,"3",504
11024,"30",30554
11024,"31",31512
11024,"32",32587
11024,"33",33024
11024,"34",33598
11024,"35",34082
11024,"36",34180
11024,"37",34190
11024,"38",34605
11024,"39",34833
11024,"4",597
11024,"40",35246
11024,"41",35875
11024,"42",36059
11024,"43",36090
11024,"44",36325
11024,"45",36344
11024,"46",37044
11024,"47",38187
11024,"48",39242
11024,"49",41381
11024,"5",689
11024,"50",43449
11024,"51",45188
11024,"52",46255
11024,"6",1137
11024,"7",1395
11024,"8",1611
11024,"9",2130
11025,"1",10
11025,"10",1194
11025,"11",1383
11025,"12",1541
11025,"13",1792
11025,"14",2140
11025,"15",2634
11025,"16",2983
11025,"17",3314
11025,"18",3830
11025,"19",4422
11025,"2",35
11025,"20",5179
11025,"21",5745
11025,"22",6675
11025,"23",7395
11025,"24",8374
11025,"25",9074
11025,"26",9435
11025,"27",10470
11025,"28",10905
11025,"29",11645
11025,"3",254
11025,"30",12554
11025,"31",12923
11025,"32",13360
11025,"33",13541
11025,"34",13787
11025,"35",13989
11025,"36",14023
11025,"37",14033
11025,"38",14170
11025,"39",14339
11025,"4",298
11025,"40",14521
11025,"41",14727
11025,"42",14731
11025,"43",14740
11025,"44",14858
11025,"45",14876
11025,"46",15165
11025,"47",15631
11025,"48",16115
11025,"49",17064
11025,"5",361
11025,"50",17920
11025,"51",18670
11025,"52",19068
11025,"6",578
11025,"7",682
11025,"8",787
11025,"9",943
11029,"1",45
11029,"10",3388
11029,"11",4001
11029,"12",4730
11029,"13",5460
11029,"14",6543
11029,"15",7948
11029,"16",8731
11029,"17",9438
11029,"18",10848
11029,"19",12404
11029,"2",333
11029,"20",14200
11029,"21",15473
11029,"22",17725
11029,"23",19781
11029,"24",22636
11029,"25",25039
11029,"26",26135
11029,"27",28779
11029,"28",30081
11029,"29",32270
11029,"3",738
11029,"30",35095
11029,"31",36313
11029,"32",37595
11029,"33",38144
11029,"34",38912
11029,"35",39586
11029,"36",39721
11029,"37",39733
11029,"38",40348
11029,"39",40835
11029,"4",853
11029,"40",41467
11029,"41",42117
11029,"42",42195
11029,"43",42384
11029,"44",42710
11029,"45",42732
11029,"46",43558
11029,"47",44838
11029,"48",46065
11029,"49",48223
11029,"5",1198
11029,"50",50226
11029,"51",52182
11029,"52",53315
11029,"6",1598
11029,"7",2005
11029,"8",2224
11029,"9",2758
11030,"1",10
11030,"10",1401
11030,"11",1590
11030,"12",1800
11030,"13",2109
11030,"14",2445
11030,"15",2974
11030,"16",3270
11030,"17",3486
11030,"18",3961
11030,"19",4535
11030,"2",40
11030,"20",5144
11030,"21",5592
11030,"22",6256
11030,"23",7288
11030,"24",8541
11030,"25",9433
11030,"26",10105
11030,"27",10973
11030,"28",11759
11030,"29",12922
11030,"3",384
11030,"30",13543
11030,"31",14374
11030,"32",14884
11030,"33",15284
11030,"34",15581
11030,"35",16040
11030,"36",16148
11030,"37",16247
11030,"38",16325
11030,"39",16585
11030,"4",436
11030,"40",16615
11030,"41",16931
11030,"42",16935
11030,"43",16975
11030,"44",16998
11030,"45",17003
11030,"46",17359
11030,"47",17838
11030,"48",18334
11030,"49",18852
11030,"5",490
11030,"50",19386
11030,"51",19779
11030,"52",19791
11030,"6",830
11030,"7",981
11030,"8",1045
11030,"9",1206
11035,"1",183
11035,"10",2433
11035,"11",2793
11035,"12",3277
11035,"13",3854
11035,"14",4723
11035,"15",5900
11035,"16",6789
11035,"17",7505
11035,"18",8438
11035,"19",9641
11035,"2",350
11035,"20",11066
11035,"21",11946
11035,"22",13556
11035,"23",15538
11035,"24",17550
11035,"25",19093
11035,"26",20411
11035,"27",22354
11035,"28",24469
11035,"29",26020
11035,"3",587
11035,"30",27684
11035,"31",29026
11035,"32",30013
11035,"33",30569
11035,"34",30979
11035,"35",31429
11035,"36",31684
11035,"37",31697
11035,"38",32140
11035,"39",32444
11035,"4",857
11035,"40",32677
11035,"41",32830
11035,"42",33251
11035,"43",33333
11035,"44",33339
11035,"45",33965
11035,"46",34986
11035,"47",36212
11035,"48",37765
11035,"49",39060
11035,"5",1080
11035,"50",40246
11035,"51",41600
11035,"52",41631
11035,"6",1315
11035,"7",1537
11035,"8",1677
11035,"9",2090
11037,"1",25
11037,"10",2265
11037,"11",2588
11037,"12",2944
11037,"13",3471
11037,"14",4127
11037,"15",5127
11037,"16",5692
11037,"17",6057
11037,"18",6787
11037,"19",7772
11037,"2",136
11037,"20",8665
11037,"21",9454
11037,"22",10360
11037,"23",12079
11037,"24",13924
11037,"25",15105
11037,"26",15989
11037,"27",17338
11037,"28",18591
11037,"29",20278
11037,"3",596
11037,"30",21088
11037,"31",22173
11037,"32",22886
11037,"33",23407
11037,"34",23810
11037,"35",24419
11037,"36",24563
11037,"37",24707
11037,"38",24796
11037,"39",25195
11037,"4",711
11037,"40",25261
11037,"41",25803
11037,"42",25809
11037,"43",25866
11037,"44",25926
11037,"45",25957
11037,"46",26515
11037,"47",27317
11037,"48",28185
11037,"49",28950
11037,"5",866
11037,"50",29889
11037,"51",30546
11037,"52",30589
11037,"6",1330
11037,"7",1574
11037,"8",1695
11037,"9",1948
11038,"1",15
11038,"10",1141
11038,"11",1273
11038,"12",1414
11038,"13",1732
11038,"14",2121
11038,"15",2695
11038,"16",3015
11038,"17",3216
11038,"18",3675
11038,"19",4291
11038,"2",96
11038,"20",4831
11038,"21",5279
11038,"22",5796
11038,"23",6735
11038,"24",7755
11038,"25",8454
11038,"26",8920
11038,"27",9741
11038,"28",10482
11038,"29",11419
11038,"3",257
11038,"30",11911
11038,"31",12521
11038,"32",12933
11038,"33",13257
11038,"34",13501
11038,"35",13826
11038,"36",13926
11038,"37",14010
11038,"38",14068
11038,"39",14320
11038,"4",384
11038,"40",14351
11038,"41",14611
11038,"42",14619
11038,"43",14651
11038,"44",14688
11038,"45",14688
11038,"46",14988
11038,"47",15501
11038,"48",15935
11038,"49",16412
11038,"5",487
11038,"50",16946
11038,"51",17341
11038,"52",17358
11038,"6",648
11038,"7",839
11038,"8",884
11038,"9",979
11039,"1",179
11039,"10",1891
11039,"11",2414
11039,"12",3037
11039,"13",3869
11039,"14",4971
11039,"15",5840
11039,"16",7043
11039,"17",7752
11039,"18",9289
11039,"19",10404
11039,"2",237
11039,"20",12102
11039,"21",13350
11039,"22",15366
11039,"23",17384
11039,"24",19112
11039,"25",20854
11039,"26",22137
11039,"27",23628
11039,"28",25659
11039,"29",27064
11039,"3",398
11039,"30",28320
11039,"31",29913
11039,"32",30648
11039,"33",31168
11039,"34",31762
11039,"35",31965
11039,"36",32168
11039,"37",32322
11039,"38",32659
11039,"39",32945
11039,"4",646
11039,"40",33263
11039,"41",33752
11039,"42",33918
11039,"43",34139
11039,"44",34365
11039,"45",34591
11039,"46",35410
11039,"47",37170
11039,"48",38274
11039,"49",39622
11039,"5",764
